"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C108","0~CloneClass","L103","1","8","260","22.6087","0.338462","2","11","7.65217","1","0.0434783","1"
"C150","3~CloneClass","L103","1","2","55","4.78261","0.690909","2","19","3.30435","1","0.0434783","0"
"C151","6~CloneClass","L103","1","4","121","21.0435","0.363636","4","11","7.65217","1","0.0434783","2"
"C152","11~CloneClass","L103","1","2","55","4.78261","0.545455","2","15","2.6087","1","0.0434783","0"
"C174","14~CloneClass","L103","1","2","149","12.9565","0.134228","2","10","1.73913","1","0.0434783","1"
"C186","17~CloneClass","L103","1","3","379","49.4348","0.0870712","3","11","4.30435","1","0.0434783","2"
"C229","21~CloneClass","L103","1","2","263","22.8696","0.0760456","2","10","1.73913","1","0.0434783","1"
"C233","24~CloneClass","L103","1","2","2247","195.391","0.0169114","2","19","3.30435","1","0.0434783","1"
"C240","27~CloneClass","L103","1","2","120","10.4348","0.216667","2","13","2.26087","1","0.0434783","1"
"C241","30~CloneClass","L103","1","2","105","9.13043","0.209524","2","11","1.91304","1","0.0434783","1"
"C269","33~CloneClass","L103","1","2","196","17.0435","0.122449","2","12","2.08696","1","0.0434783","1"
"C350","36~CloneClass","L103","1","2","423","36.7826","0.0472813","2","10","1.73913","1","0.0434783","1"
"C372","39~CloneClass","L103","1","4","725","126.087","0.0606897","4","11","7.65217","1","0.0434783","2"
"C398","44~CloneClass","L103","1","4","741","193.304","0.0580297","4","10.75","11.2174","1","0.0652174","2"
"C433","49~CloneClass","L103","1","3","484","63.1304","0.0867769","3","14","5.47826","1","0.0434783","2"
"C450","53~CloneClass","L103","1","3","610","79.5652","0.0540984","3","11","4.30435","1","0.0434783","2"
"C477","57~CloneClass","L103","1","2","169","14.6957","0.118343","2","10","1.73913","1","0.0434783","1"
"C516","60~CloneClass","L103","1","4","244","42.4348","0.163934","4","10","6.95652","1","0.0434783","2"
"C517","65~CloneClass","L103","1","2","321","27.913","0.0623053","2","10","1.73913","1","0.0434783","1"
"C642","68~CloneClass","L103","1","3","10","1.30435","3","3","10","3.91304","1","0.0434783","1"
"C647","72~CloneClass","L103","1","2","233","20.2609","0.188841","2","22","3.82609","1","0.0434783","1"
"C648","75~CloneClass","L103","1","2","103","8.95652","0.31068","2","16","2.78261","1","0.0434783","1"
"C649","78~CloneClass","L103","1","2","95","8.26087","0.294737","2","14","2.43478","1","0.0434783","0"
"C650","81~CloneClass","L103","1","2","87","7.56522","0.275862","2","12","2.08696","1","0.0434783","0"
"C651","84~CloneClass","L103","1","2","79","6.86957","0.253165","2","10","1.73913","1","0.0434783","0"
"C780","87~CloneClass","L103","1","12","111","9.65217","1.62162","2","15","15.6522","1","0.0434783","2"
"C781","90~CloneClass","L103","1","10","93","8.08696","1.29032","2","12","10.4348","1","0.0434783","0"
