"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C7341","168~CloneInstance","C1314","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\AssertionsDemo.java","62","4","71","5","1","1","86","10","1","0"
"C7342","169~CloneInstance","C1314","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\AssertionsDemo.java","72","4","83","5","1","1","86","12","1","0"
"C10942","878~CloneInstance","C2432","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertAll.java","61","2","84","3","1","3","103","24","1","1"
"C10766","850~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","169","2","183","3","1","4","7","15","1","0"
"C10767","851~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","185","2","199","3","1","4","7","15","1","0"
"C10768","852~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","201","2","215","3","1","4","7","15","1","0"
"C10769","853~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","217","2","231","3","1","4","7","15","1","0"
"C10770","854~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","233","2","247","3","1","4","7","15","1","0"
"C10771","855~CloneInstance","C2375","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","249","2","263","3","1","4","7","15","1","0"
"C10772","857~CloneInstance","C2376","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","265","2","279","3","1","4","11","15","1","0"
"C10732","847~CloneInstance","C2370","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","281","2","296","3","1","4","12","16","1","0"
"C10773","858~CloneInstance","C2376","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","298","2","312","3","1","4","11","15","1","0"
"C10733","848~CloneInstance","C2370","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","314","2","329","3","1","4","12","16","1","0"
"C10935","874~CloneInstance","C2429","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","397","2","406","3","1","3","13","10","1","0"
"C10936","875~CloneInstance","C2429","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java","90","2","99","3","1","3","4","10","1","0"
"C9284","437~CloneInstance","C1926","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","330","2","347","3","1","3","62","18","1","0"
