"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L50269","eclipse-public-license-2.0.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/src/spotless/eclipse-public-license-2.0.java","L50268","1","0","0","0","0","10"
"L50195","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter-engine/src/test/java/DefaultPackageTestCase.java","L155","1","0","0","0","8","29"
"L50194","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter-engine/src/module/org.junit.jupiter.engine/module-info.java","L50193","1","0","0","0","11","35"
"L50191","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter-api/src/module/org.junit.jupiter.api/module-info.java","L50190","1","0","0","0","12","28"
"L50248","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/platform-tests/src/test/java/DefaultPackageTestCase.java","L6074","1","0","0","0","8","29"
"L50198","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter-migrationsupport/src/module/org.junit.jupiter.migrationsupport/module-info.java","L50197","1","0","0","0","11","28"
"L50201","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter-params/src/module/org.junit.jupiter.params/module-info.java","L50200","1","0","0","0","13","31"
"L50209","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-commons/src/module/org.junit.platform.commons/module-info.java","L50208","1","0","0","0","38","55"
"L50212","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-console/src/module/org.junit.platform.console/module-info.java","L50211","1","0","0","0","8","26"
"L50215","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-engine/src/module/org.junit.platform.engine/module-info.java","L50214","1","0","0","0","13","34"
"L50218","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-jfr/src/module/org.junit.platform.jfr/module-info.java","L50217","1","0","0","0","10","33"
"L50221","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-launcher/src/module/org.junit.platform.launcher/module-info.java","L50220","1","0","0","0","17","42"
"L50224","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-reporting/src/module/org.junit.platform.reporting/module-info.java","L50223","1","0","0","0","9","27"
"L50227","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-runner/src/module/org.junit.platform.runner/module-info.java","L50226","1","0","0","0","8","26"
"L50230","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-suite-api/src/module/org.junit.platform.suite.api/module-info.java","L50229","1","0","0","0","5","22"
"L50233","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-suite-commons/src/module/org.junit.platform.suite.commons/module-info.java","L50232","1","0","0","0","10","27"
"L50236","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-suite-engine/src/module/org.junit.platform.suite.engine/module-info.java","L50235","1","0","0","0","10","29"
"L50244","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-testkit/src/module/org.junit.platform.testkit/module-info.java","L50243","1","0","0","0","10","30"
"L50247","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-vintage-engine/src/module/org.junit.vintage.engine/module-info.java","L50246","1","0","0","0","7","26"
"L50206","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-jupiter/src/module/org.junit.jupiter/module-info.java","L50205","1","0","0","0","5","21"
"L50241","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/junit-platform-suite/src/module/org.junit.platform.suite/module-info.java","L50240","1","0","0","0","4","20"
"L114","AssertionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/AssertionsDemo.java","L113","1","0","0","0","94","151"
"L115","AssumptionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/AssumptionsDemo.java","L113","1","0","0","0","26","56"
"L116","ConditionalTestExecutionDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/ConditionalTestExecutionDemo.java","L113","1","0","0","0","111","177"
"L117","CustomTestEngine.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/CustomTestEngine.java","L113","1","0","0","0","20","41"
"L118","DisabledClassDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/DisabledClassDemo.java","L113","1","0","0","0","9","26"
"L119","DisabledTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/DisabledTestsDemo.java","L113","1","0","0","0","12","30"
"L120","DisplayNameDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/DisplayNameDemo.java","L113","1","0","0","0","18","37"
"L121","DisplayNameGeneratorDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.1/documentation/src/test/java/example/DisplayNameGeneratorDemo.java","L113","1","0","0","0","34","59"
