"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L751","ComparableContract<T extends Comparable<T>>","example.defaultmethods.ComparableContract","L745","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\defaultmethods\ComparableContract.java","19","1","43","2","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","3","7","0.2","0.0909091","2","1","1","4","0.0909091","2","1","1","1","1","1","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","0","0","11","0","3","0","3","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0"
"L777","EqualsContract<T extends Object>","example.defaultmethods.EqualsContract","L745","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\defaultmethods\EqualsContract.java","20","1","44","2","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","4","8","0.2","0.0909091","2","1","1","4","0.0909091","2","1","1","1","1","1","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","0","1","11","0","3","0","3","0","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0"
"L754","Testable<T extends Object>","example.defaultmethods.Testable","L745","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\defaultmethods\Testable.java","14","1","18","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","6","0","1","0.5","0.4","2","1","1","1","0.4","2","0","0","2","3","0","3","5","0","0","0","0","1","0","1","0","1","0","0","1","0","3","5","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L2015","TestInterfaceDynamicTestsDemo","example.testinterface.TestInterfaceDynamicTestsDemo","L2000","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\testinterface\TestInterfaceDynamicTestsDemo.java","24","1","32","2","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0.5","0.363636","4","2","1","1","0.363636","4","0","0","1","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L2009","TestLifecycleLogger","example.testinterface.TestLifecycleLogger","L2000","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","25","1","52","2","0","0","0","0","0","0","0","0","0","0","0","4","6","1","0","0","4","0.2","0.153846","4","2","1","4","0.153846","4","0","0","1","1","0","22","28","1","0","1","0","4","1","4","0","4","4","1","4","0","22","28","1","0","1","0","4","1","4","0","4","4","1","4","0","0","0","15","0","1","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","4"
"L2012","TimeExecutionLogger","example.testinterface.TimeExecutionLogger","L2000","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\testinterface\TimeExecutionLogger.java","19","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","1","0.333333","2","1","1","0","0.333333","2","0","0","1","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2468","ApiReportWriter","org.junit.api.tools.ApiReportWriter","L2454","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\org\junit\api\tools\ApiReportWriter.java","21","1","27","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","0","2","0.333333","0.428571","3","3","1","2","0.428571","3","0","0","1","4","0","4","7","0","0","0","0","2","0","2","0","2","0","0","2","0","4","7","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L5862","ClassDescriptor","org.junit.jupiter.api.ClassDescriptor","L2760","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\ClassDescriptor.java","27","1","87","2","0","0","0","0","0","0","0","0","0","0","0","5","0","6","2","0","5","1","0.868852","53","53","6","0","0.868852","53","0","0","1","1","0","8","61","0","2","0","2","5","0","5","0","5","0","0","5","0","8","61","0","2","0","2","5","0","5","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1330","ClassOrderer","org.junit.jupiter.api.ClassOrderer","L2760","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\ClassOrderer.java","61","1","255","2","0.268595","1","2","1","0.0974359","0.271429","19","19","0","0","0","1","1","13","1","0","1","1","0.934426","57","57","2","0","0.666667","140","0","0","4","4","0","4","72","0","0","0","0","1","0","1","0","1","0","0","1","0","70","195","5","2","5","2","12","1","9","0","12","6","1","9","0","0","0","58","0","6","0","0","33","2","1","0","0","0","0","18","4","0","0","0","0","0","0","6"
"L5902","ClassOrdererContext","org.junit.jupiter.api.ClassOrdererContext","L2760","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\ClassOrdererContext.java","28","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","1","6","5","0","2","1","0.852941","29","29","3","0","0.852941","29","0","0","1","1","0","5","29","0","2","0","2","2","0","2","0","2","0","0","2","0","5","29","0","2","0","2","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L846","DisplayNameGenerator","org.junit.jupiter.api.DisplayNameGenerator","L2760","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DisplayNameGenerator.java","48","1","355","2","0","0","0","0","0","0","0","0","0","1","1","9","7","31","15","4","9","1","0.688889","62","62","6","0","0.501672","150","0","0","4","6","0","28","112","0","1","0","1","5","0","5","0","5","13","0","5","0","149","308","4","8","4","4","27","0","19","0","46","48","0","37","0","0","0","41","0","8","0","0","0","4","1","0","0","0","0","40","4","0","0","0","0","0","0","0"
