"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0842282","268","987","650","0.05365","0.0808238","7982","6997","0","0","0","0","0","0.672721","0.317027","40186","1852","901","0","0","0","0","0","0","0","0","0","9","0","0","86573","148779","2030","2255","482","40","1258","989","177","10333","25328","271","444","22","117","117","3248","71","0","78","30730","2311","6231","474","4673","1808","639","0","551","841","0","108","0","0"
"L104","example","example","L100","L103","0.00571225","1","2","2","0.145695","0.170213","22","16","0.25","0.291406","651","2","6","0.130435","0.323594","1185","9","60","1583","2742","17","62","0","4","0","201","1","12","17","1","2477","4505","35","101","30","1","81","12","6","310","378","4","25","1","3","12","80","2","0","5","879","107","185","3","155","87","6","0","29","20","0","0","0","0"
"L2430","extensions","extensions","L100","L103","0","0","0","0","0","0","0","0","0","0.225","9","0","4","0","0.225","9","0","4","31","52","1","1","0","1","0","3","0","0","2","0","31","52","1","1","9","0","1","1","0","3","3","0","1","0","0","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2451","org","org","L100","L103","0.0876814","265","979","642","0.0559726","0.0843291","7882","6909","0","0","0","0","0","0.698328","0.317179","38058","1838","794","0","0","0","0","0","0","0","0","0","1","0","0","81931","140819","1972","2109","342","39","1112","969","171","9898","24466","265","406","21","114","89","3125","63","0","68","29460","2135","5933","464","4424","1684","609","0","520","793","0","106","0","0"
"L50188","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0.239521","80","0","0","0","0.239521","80","0","0","254","667","0","4","0","0","0","5","0","0","0","0","254","667","0","4","98","0","25","0","0","5","5","0","0","0","0","0","0","0","0","0","13","2","11","0","9","4","0","0","0","0","0","0","0","0"
"L50331","foo","foo","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","2","4","0","1","0","0","0","0","0","1","0","0","4","8","0","2","11","0","2","0","0","0","0","0","2","0","0","1","0","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","0","0"
"L50339","com","com","L100","L103","0.262332","1","3","3","0.17561","0.333333","36","36","0","0","0","0","0","0","0.349398","58","0","5","0","0","0","0","0","0","0","0","0","1","0","0","108","205","0","7","49","0","7","0","0","11","16","0","4","0","0","3","5","0","0","0","93","1","4","0","2","3","0","0","0","0","0","0","0","0"
"L50440","integration","integration","L100","L103","0","0","0","0","0","0","0","0","0","0.245098","25","0","0","0","0.245098","25","0","0","77","122","0","2","0","0","0","7","0","0","0","0","77","122","0","2","13","0","2","0","0","7","23","0","0","0","0","0","0","0","0","0","23","1","16","0","16","1","0","0","0","0","0","0","0","0"
"L50480","standalone","standalone","L100","L103","0","0","0","0","0","0","0","0","0","0.325301","27","0","4","0","0.325301","27","0","4","56","105","0","3","0","0","0","8","0","0","3","0","56","105","0","3","9","0","3","0","0","8","6","0","1","0","0","0","3","0","0","0","27","4","4","0","5","1","0","0","2","0","0","0","0","0"
"L50502","platform","platform","L100","L103","0.0364865","1","3","3","0.0182927","0.0220183","42","36","0","0","0","0","0","0.135135","0.312736","744","5","32","0","0","0","0","0","0","0","0","0","1","0","0","1635","2296","22","26","17","0","25","7","0","91","431","2","5","0","0","3","33","6","0","5","216","61","77","7","62","27","24","0","0","28","0","2","0","0"
"L158","domain","example.domain","L104","L103","0","0","0","0","0","0","0","0","0","0.137931","12","0","11","0","0.137931","12","0","11","75","105","6","1","1","4","0","9","2","0","9","0","75","105","6","1","10","1","2","4","0","9","33","2","1","1","0","0","9","0","0","0","30","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L236","registration","example.registration","L104","L103","0","0","0","0","0","0","0","0","0","0.448276","65","0","11","0","0.448276","65","0","11","80","191","3","7","0","3","0","13","0","0","8","0","80","191","3","7","14","0","6","3","0","13","12","0","4","0","0","0","8","0","0","0","35","2","7","0","2","5","1","0","0","1","0","0","0","0"
"L340","util","example.util","L104","L103","0","0","0","0","0","0","0","0","0","0.416667","30","0","10","0","0.416667","30","0","10","42","96","1","3","0","0","0","7","0","0","7","0","42","96","1","3","10","0","4","0","0","7","13","0","3","0","0","0","7","0","0","0","24","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L493","callbacks","example.callbacks","L104","L103","0","0","0","0","0","0","0","0","0","0.34188","80","0","6","0","0.34188","80","0","6","154","302","1","6","0","0","0","26","0","0","4","0","154","302","1","6","10","0","6","0","0","26","26","0","2","0","0","0","4","0","0","0","70","2","10","0","3","8","0","0","0","1","0","0","0","0"
"L745","defaultmethods","example.defaultmethods","L104","L103","0","0","0","0","0","0","0","0","0.25","0.39823","45","3","9","0.25","0.39823","45","3","9","68","144","0","1","0","0","3","12","0","0","12","0","68","144","0","1","10","0","4","0","3","12","19","0","0","0","3","0","12","0","0","1","36","0","6","0","6","0","0","0","0","1","0","0","0","0"
"L1090","exception","example.exception","L104","L103","0","0","0","0","0","0","0","0","0.5","0.355263","54","1","1","0.5","0.355263","54","1","1","98","187","0","7","0","0","0","12","0","0","8","0","98","187","0","7","10","0","4","0","0","12","16","0","1","0","0","0","8","0","0","0","40","4","2","0","3","0","1","0","2","0","0","0","0","0"
"L1174","extensions","example.extensions","L104","L103","0","0","0","0","0","0","0","0","1","0.418605","36","1","0","1","0.418605","36","1","0","50","109","1","2","0","0","0","7","0","0","4","0","50","109","1","2","10","0","3","0","0","7","2","0","0","0","0","0","4","0","0","0","15","2","2","0","2","0","0","0","2","0","0","0","0","0"
"L1252","interceptor","example.interceptor","L104","L103","0","0","0","0","0","0","0","0","0.5","0.325","13","1","1","0.5","0.325","13","1","1","27","49","0","1","0","0","0","1","0","0","1","0","27","49","0","1","10","0","1","0","0","1","5","0","1","0","0","0","1","0","0","0","5","1","0","0","0","0","0","0","0","1","0","0","0","0"
"L1729","session","example.session","L104","L103","0","0","0","0","0","0","0","0","0","0.281553","29","0","3","0","0.281553","29","0","3","74","120","3","4","0","0","0","6","0","0","3","1","74","120","3","4","10","0","2","0","0","6","24","0","1","0","0","0","3","1","0","0","23","1","3","0","1","2","1","0","0","0","0","0","0","0"
"L2000","testinterface","example.testinterface","L104","L103","0","0","0","0","0","0","0","0","0","0.442478","50","0","0","0","0.442478","50","0","0","63","144","1","1","0","0","3","6","1","0","5","0","63","144","1","1","10","0","4","0","3","6","6","1","0","0","0","0","5","0","0","0","23","0","1","0","0","1","0","0","0","0","0","0","0","0"
"L2047","testkit","example.testkit","L104","L103","0","0","0","0","0","0","0","0","0","0.404878","83","0","0","0","0.404878","83","0","0","122","219","0","4","0","0","0","5","0","0","0","0","122","219","0","4","10","0","4","0","0","5","9","0","0","0","0","0","0","0","0","0","8","7","0","0","5","2","0","0","0","0","0","0","0","0"
"L2241","timing","example.timing","L104","L103","0","0","0","0","0","0","0","0","0.333333","0.474359","37","1","2","0.333333","0.474359","37","1","2","41","97","2","2","0","1","0","5","0","0","2","0","41","97","2","2","10","0","2","1","0","5","8","0","1","0","0","0","2","0","0","0","13","4","0","0","2","0","2","0","0","0","0","0","0","0"
"L2452","junit","org.junit","L2451","L103","0.0876814","265","979","642","0.0559726","0.0843291","7882","6909","0","0","0","0","0","0.698328","0.317179","38058","1838","794","0","0","0","0","0","0","0","0","0","4","0","0","81931","140819","1972","2109","342","39","1112","969","171","9898","24466","265","406","21","114","88","3125","63","0","68","29460","2135","5933","464","4424","1684","609","0","520","793","0","106","0","0"
"L50333","bar","foo.bar","L50331","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","4","0","1","0","0","0","0","0","0","0","0","2","4","0","1","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50340","example","com.example","L50339","L103","0.262332","1","3","3","0.17561","0.333333","36","36","0","0","0","0","0","0","0.349398","58","0","5","0","0","0","0","0","0","0","0","0","2","0","0","108","205","0","7","49","0","7","0","0","11","16","0","4","0","0","2","5","0","0","0","93","1","4","0","2","3","0","0","0","0","0","0","0","0"
"L50503","tooling","platform.tooling","L50502","L103","0.0364865","1","3","3","0.0182927","0.0220183","42","36","0","0","0","0","0","0.135135","0.312736","744","5","32","0","0","0","0","0","0","0","0","0","1","0","0","1635","2296","22","26","17","0","25","7","0","91","431","2","5","0","0","2","33","6","0","5","216","61","77","7","62","27","24","0","0","28","0","2","0","0"
"L2453","api","org.junit.api","L2452","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.285714","120","0","0","0","0","0","0","0","0","0","0","0","1","0","0","300","516","7","6","12","0","7","3","1","47","90","0","0","0","0","1","5","0","0","1","99","1","13","0","1","11","0","0","0","1","0","2","0","0"
"L2755","jupiter","org.junit.jupiter","L2452","L103","0.0843333","134","474","312","0","0","0","0","0","0.694444","25","0","0","0.706865","0.305432","19310","762","316","11","40","0","1","0","0","0","0","0","6","0","0","43912","74057","922","1190","121","15","528","425","85","5424","12269","138","147","7","60","34","1332","23","0","33","16191","1212","3133","199","2418","944","156","0","318","444","0","98","0","0"
"L28384","platform","org.junit.platform","L2452","L103","0.0948252","122","475","300","0","0","0","0","1","0.475","57","1","0","0.743253","0.337369","16942","1019","352","63","143","0","4","0","1","0","5","0","10","3","0","33276","59171","960","785","192","23","471","507","79","3990","10843","116","177","14","48","41","1626","40","0","32","11805","804","2584","256","1812","674","416","0","192","320","0","6","0","0"
"L48075","vintage","org.junit.vintage","L2452","L103","0.0695467","13","30","30","0.050318","0.0650461","356","289","0","0","0","0","0","0.311475","0.275086","1686","57","126","0","0","0","0","0","0","0","0","0","1","0","0","4443","7075","83","128","35","1","106","34","6","437","1264","11","82","0","6","8","162","0","0","2","1365","118","203","9","193","55","37","0","10","28","0","0","0","0"
"L50341","project","com.example.project","L50340","L103","0.284672","1","3","3","0","0","0","0","0","0.36","54","0","2","0","0.36","54","0","2","96","186","0","6","0","0","0","9","0","0","3","0","96","186","0","6","42","0","6","0","0","9","15","0","3","0","0","0","3","0","0","0","87","0","3","0","0","3","0","0","0","0","0","0","0","0"
"L50427","vintage","com.example.vintage","L50340","L103","0","0","0","0","0","0","0","0","0","0.25","4","0","3","0","0.25","4","0","3","12","19","0","1","0","0","0","2","0","0","2","0","12","19","0","1","13","0","1","0","0","2","1","0","1","0","0","0","2","0","0","0","6","1","1","0","2","0","0","0","0","0","0","0","0","0"
"L50504","support","platform.tooling.support","L50503","L103","0.0364865","1","3","3","0","0","0","0","0.135135","0.210526","100","5","32","0.135135","0.312736","744","5","32","375","519","16","6","0","7","0","42","2","1","32","6","1635","2296","22","26","17","0","25","7","0","91","431","2","5","0","0","1","33","6","0","5","216","61","77","7","62","27","24","0","0","28","0","2","0","0"
"L2454","tools","org.junit.api.tools","L2453","L103","0","0","0","0","0","0","0","0","0","0.285714","120","0","0","0","0.285714","120","0","0","300","516","7","6","0","3","1","47","0","0","5","0","300","516","7","6","12","0","7","3","1","47","90","0","0","0","0","0","5","0","0","1","99","1","13","0","1","11","0","0","0","1","0","2","0","0"
"L2760","api","org.junit.jupiter.api","L2755","L103","0.0963657","61","289","139","0","0","0","0","0.944828","0.366879","5760","411","24","0.898176","0.433433","10825","591","67","9940","17772","50","119","1","34","11","1269","4","7","398","1","14150","28511","136","198","47","5","202","117","41","1862","4505","33","36","5","41","8","551","5","0","4","4555","205","1034","115","642","342","42","0","75","126","0","16","0","0"
"L11087","engine","org.junit.jupiter.engine","L2755","L103","0.0965082","64","157","151","0","0","0","0","0.714286","0.231728","1227","5","2","0.362319","0.190828","5293","100","176","4068","6008","82","135","0","12","3","440","26","7","65","0","22444","33113","586","801","37","4","214","230","29","2602","5960","78","77","0","11","12","587","17","0","13","9024","835","1525","49","1402","380","80","0","216","244","0","51","0","0"
"L24057","migrationsupport","org.junit.jupiter.migrationsupport","L2755","L103","0.0137322","1","3","3","0","0","0","0","1","0.648352","59","1","0","0.313726","0.32631","573","16","35","32","103","0","1","0","0","0","0","0","2","0","0","1183","2176","57","58","24","0","39","13","3","131","208","12","21","0","2","4","37","0","0","1","532","25","91","0","55","26","7","0","3","1","0","25","0","0"
"L24705","params","org.junit.jupiter.params","L2755","L103","0.031148","8","25","19","0","0","0","0","1","0.218236","584","1","0","0.666667","0.299201","2545","54","27","2092","3073","46","51","1","25","1","293","2","4","42","0","5961","9952","137","125","25","6","69","65","11","804","1566","14","11","2","6","4","143","0","0","15","1996","146","480","35","319","194","27","0","24","71","0","6","0","0"
"L28289","jmh","org.junit.jupiter.jmh","L2755","L103","0","0","0","0","0","0","0","0","0.125","0.291667","14","1","7","0.125","0.291667","14","1","7","34","60","0","1","0","0","0","7","0","0","7","0","34","60","0","1","12","0","1","0","0","7","7","0","1","0","0","0","7","0","0","0","18","1","0","0","0","0","0","0","0","1","0","0","0","0"
"L28311","extensions","org.junit.jupiter.extensions","L2755","L103","0","0","0","0","0","0","0","0","0","0.213415","35","0","4","0","0.213415","35","0","4","129","205","6","6","0","0","1","18","1","0","7","1","129","205","6","6","12","0","2","0","1","18","23","1","1","0","0","0","7","1","0","0","66","0","3","0","0","2","0","0","0","1","0","0","0","0"
"L28389","commons","org.junit.platform.commons","L28384","L103","0.0606637","15","56","33","0","0","0","0","0.333333","0.575758","38","2","4","0.866171","0.343652","3830","233","36","28","86","2","2","0","0","0","4","0","6","4","0","7315","13181","118","205","43","3","74","69","27","931","2357","22","48","3","5","7","327","0","0","13","2545","193","870","71","658","148","103","0","86","81","0","0","0","0"
"L33226","console","org.junit.platform.console","L28384","L103","0.109072","11","33","27","0","0","0","0","0.272727","0.185414","150","3","8","0.117021","0.194048","789","11","83","659","982","24","14","0","18","0","76","0","3","31","0","3277","4909","178","51","30","4","45","44","1","377","1075","18","6","2","1","3","136","31","0","6","1462","67","385","15","253","85","68","0","16","36","0","0","0","0"
