"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L169","Person$Gender","example.domain.Person$Gender","L165","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\main\java\example\domain\Person.java","17","2","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L6189","JRE","org.junit.jupiter.api.condition.JRE","L6018","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\condition\JRE.java","46","1","213","2","0.152672","1","12","2","0.119048","0.253165","20","20","2","2","2","18","4","16","11","5","9","1","0.526946","88","84","3","0","0.526946","88","0","0","0","0","0","79","168","14","0","14","0","4","12","2","0","4","28","12","2","0","79","168","14","0","14","0","4","12","2","0","4","28","12","2","0","0","0","23","1","0","1","0","11","0","1","1","0","1","0","4","0","0","0","0","0","0","0","6"
"L6342","OS","org.junit.jupiter.api.condition.OS","L6018","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\condition\OS.java","40","1","122","2","0","0","0","0","0","0","0","0","2","1","1","10","3","11","7","3","6","1","0.511628","44","43","2","0","0.511628","44","0","0","0","0","0","42","83","8","0","8","0","3","6","1","0","3","17","6","1","0","42","83","8","0","8","0","3","6","1","0","3","17","6","1","0","0","0","10","0","1","0","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","5"
"L7955","ExecutionMode","org.junit.jupiter.api.parallel.ExecutionMode","L8871","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\parallel\ExecutionMode.java","24","1","41","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","1","0.772727","17","17","1","0","0.772727","17","0","0","0","0","0","5","18","2","0","2","0","0","2","0","0","0","0","2","0","0","5","18","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L8901","ResourceAccessMode","org.junit.jupiter.api.parallel.ResourceAccessMode","L8871","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\parallel\ResourceAccessMode.java","23","1","36","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.705882","12","12","1","0","0.705882","12","0","0","0","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L7884","TestInstance$Lifecycle","org.junit.jupiter.api.TestInstance$Lifecycle","L2041","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\TestInstance.java","76","2","95","3","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","1","0.826087","19","19","1","0","0.826087","19","0","0","0","0","0","4","20","2","0","2","0","0","2","0","0","0","0","2","0","0","4","20","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L26079","ParameterizedTestMethodContext$ResolverType","org.junit.jupiter.params.ParameterizedTestMethodContext$ResolverType","L25958","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\ParameterizedTestMethodContext.java","176","2","213","3","0","0","0","0","0","0","0","0","0","0","0","1","7","3","1","6","7","0","0","0","0","0","1","0.105263","4","0","0","2","2","0","7","11","2","0","2","0","1","2","0","0","1","0","2","0","0","34","38","2","0","2","0","3","2","0","0","3","6","2","0","0","0","0","23","2","0","0","0","0","0","0","0","0","2","0","15","0","0","0","0","0","0","0","8"
"L26743","NullEnum","org.junit.jupiter.params.provider.NullEnum","L26309","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\NullEnum.java","24","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.7","7","7","1","0","0.7","7","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L32746","HierarchyTraversalMode","org.junit.platform.commons.support.HierarchyTraversalMode","L32664","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-commons\src\main\java\org\junit\platform\commons\support\HierarchyTraversalMode.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.736842","14","14","1","0","0.736842","14","0","0","0","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L32710","SearchOption","org.junit.platform.commons.support.SearchOption","L32664","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-commons\src\main\java\org\junit\platform\commons\support\SearchOption.java","24","1","43","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.791667","19","19","1","0","0.791667","19","0","0","0","0","0","5","20","2","0","2","0","0","2","0","0","0","0","2","0","0","5","20","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
